Conc_ngperL,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFPrS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFDoS,PFTrDS,Cl-PFOS,PFEtCHxS,FBSA,MeFBSA,EtFBSA,FPeSA,FHxSA,FHpSA,FOSA,FDSA,MeFOSA,EtFOSA,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 UFTCA,8:2 UFTCA,ADONA,9Cl-PF3ONS,11l-PF3OUdS,HFPO-DA,6:2 diPAP,8:2 diPAP,diSAmPAP,N-EtFBSE,MeFOSE,EtFOSE,FOSAA,MeFOSAA,EtFOSAA,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFMPA,PFEESA,PFMBA,NFDHA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1813,0,34,685,139,342,489,798,426,354,0,301,NA,809,-510,584,578,953,1187,619,0,432,576,748,125,0,0,0,0,134,471,0,0,0,0,0,0,0,2103,390,540,0,1392,153,0,0,0,137,181,209,0,0,259,262,324,0,0,0,714,5363,0,0
50,NA,158,519,1002,946,1058,1290,1858,1905,1446,149,1121,NA,1842,418,1697,1269,2158,2994,1904,1022,1475,1345,261,2043,0,236,300,238,801,1315,0,0,205,148,136,110,771,3952,1364,2364,0,2690,928,0,0,0,663,763,1139,949,1008,721,739,1664,0,109,0,1213,7415,190,0
100,NA,439,1777,2508,2550,2235,2898,4218,4252,3138,1687,2281,NA,4095,3156,4024,3626,5822,6508,5822,3626,3154,3904,891,1476,0,878,907,565,1837,3097,0,0,167,419,296,850,1814,6524,2811,5082,0,3186,1795,0,0,0,1033,3226,1657,1678,2084,1910,1462,3836,0,125,447,2920,14596,504,0
200,NA,748,1933,3495,3794,3379,3909,5750,5582,7872,3036,6657,1653,6227,4690,5023,4648,8690,8862,8878,5057,3966,4914,411,800,0,1305,1471,1570,2387,4375,326,1044,162,401,759,641,1925,10841,4436,6893,0,7330,3778,116,0,0,200,4477,3091,2862,2556,2418,1921,4826,0,278,125,4380,19051,884,0
500,NA,1465,4942,9091,8705,8368,10508,10939,16417,20858,10665,13037,7668,13715,12981,13090,11898,19498,18389,28625,20005,9429,12771,1533,2027,291,3275,4250,3600,5931,12439,1081,972,796,1142,2039,3044,4195,23524,11708,17111,1112,11895,9005,731,2294,0,1680,11855,6516,4317,6691,5508,5255,13663,0,443,741,8672,35832,1964,645
1000,2813,3870,11267,17004,18372,17200,19538,31500,33587,39154,31160,26703,13985,31720,29121,27693,28432,44694,51762,59580,43012,20621,25884,3370,4929,2108,8366,10172,9520,14077,28211,4142,4404,1828,3720,5141,6718,10697,46915,24639,36542,2493,27787,20213,2160,3333,3000,4740,25176,18167,15175,14911,12265,11873,29736,498,1708,3332,22001,81889,4768,835
2000,10130,7608,19858,31882,37966,34707,39818,61022,72607,87360,56505,62829,24801,59901,61583,51656,60651,91543,99576,123897,93855,39785,55055,6521,3602,2290,16102,18069,18385,29071,57466,5186,9435,3187,6454,9786,11216,19969,100734,47658,77051,4690,63876,39570,6735,6492,2096,6978,51238,34306,30854,27297,23261,22407,59313,501,2235,3874,39323,164765,9549,2323
5000,78318,23382,64242,104403,110321,104461,156616,196853,235935,277501,148926,229104,64330,197153,189747,173184,168618,298286,326817,408235,236877,127654,162889,19919,16858,13159,49932,61274,57285,91701,184637,30028,84970,8892,19625,28432,31559,61454,288160,142321,246961,13608,197954,110030,23517,20509,15649,23661,148390,176115,97579,87410,74737,70602,189736,1348,7591,12983,105433,521366,27725,7213
15000,217656,66933,192781,321373,310494,295861,569850,505471,615695,770097,520913,657223,208810,568081,569709,503443,480035,757224,867930,1159033,815287,369293,491019,58349,23235,18754,148130,176203,153451,235087,505420,38640,95603,26319,45973,81618,97926,152178,836355,497162,733189,37367,554201,304342,71066,47372,27880,59770,444492,283985,256359,250511,224652,345671,510010,3644,20905,28343,324254,1586684,76834,20538
30000,447450,126928,389544,598726,667120,625295,672569,928885,1055593,1472552,817662,1179862,393145,1087413,1187565,1055316,1019972,1607017,1688270,2176184,1349507,728640,1009078,106387,3549,3092,258142,311388,281464,406036,801258,30561,117020,36059,68572,127200,159424,244254,1852203,835883,1319258,71686,1194988,654975,150933,48927,48242,84410,926045,629311,489995,468520,460890,401363,979784,2335,9958,17806,612561,3213323,151653,43968
50000,543491,155594,463133,743396,772551,704774,1314048,1326976,1501840,1843546,1945367,1564519,560593,1320482,1366520,1290631,1154670,1850536,2257812,2674322,2507350,875603,1186169,136090,131930,121042,355729,406677,397499,534802,1511247,273607,480816,61387,108422,235029,230764,340455,2182460,1246202,1711126,85136,1848699,761475,179376,140477,161613,151391,1097721,780756,657176,530198,525125,950478,1300316,10913,71921,109529,808738,3682092,178371,51067
