"","LOD.(Intercept)","LOQ.(Intercept)","rsquare","RMSE"
"PFPeA",71.5914349962511,214.774304988753,0.997253486004083,159.020795952725
"PFHxA",47.3153340072354,141.946002021706,0.987522665433969,401.362144269766
"PFHpA",5.12960711128631,15.3888213338589,0.998419491859211,273.931578096793
"PFOA",21.6029297912808,64.8087893738425,0.997718966416767,369.649936144664
"PFNA",10.0914031314988,30.2742093944964,0.999062036102488,228.362560793483
"PFDA",1.88549227060458,5.65647681181375,0.997660487701281,375.486228237755
"PFUdA",73.7958160391593,221.387448117478,0.953096859249505,2008.18352573275
"PFDoA",28.8940671704326,86.6822015112979,0.999015465518522,630.704007362583
"PFTrDA",34.3098711171698,102.92961335151,0.997698616669414,650.730823657443
"PFTeDA",122.813162226236,368.439486678708,0.989507954103754,1696.59307822189
"PFHxDA",27.0285746860406,81.0857240581218,0.998591919523209,600.763312080143
"PFPrS",84.9973924479512,254.992177343854,0.999499603213456,937.191657651106
"PFPeS",27.123324191428,81.369972574284,0.98854313532873,944.793937096674
"PFHxS",76.8296919363293,230.489075808988,0.998453909663469,858.62175048966
"PFHpS",21.0791784740612,63.2375354221836,0.996229381589014,618.423898292885
"PFOS",47.8699474280704,143.609842284211,0.984690558843226,1009.62988525657
"PFNS",29.9129088005611,89.7387264016832,0.988374681285705,1256.01739218615
"PFDS",73.8326802404376,221.498040721313,0.960738637070483,3101.72455447385
"PFDoS",43.3377932885981,130.013379865794,0.998995843724285,947.471313713468
"PFTrDS",89.0869683731561,267.260905119468,0.997538717780395,1515.69392618048
"Cl.PFOS",19.54828618939,58.6448585681701,0.992823437517467,557.083105314672
"PFEtCHxS",17.3564500005393,52.0693500016178,0.999080251161602,521.356065047625
"FBSA",45.4572954632877,136.371886389863,0.957505412146145,310.254951204694
"MeFBSA",70.3585899703539,211.075769911062,0.903520558559903,702.105825963427
"EtFBSA",1904.55167263657,5713.6550179097,0.843359507017914,2663.07756537218
"FPeSA",70.2991874744521,210.897562423356,0.996951424523633,295.925570778353
"FHxSA",77.9969682495652,233.990904748696,0.993346827112283,451.749230456024
"FHpSA",81.8353818177591,245.506145453277,0.996403841766615,341.321474916651
"FOSA",45.694114971979,137.082344915937,0.98566527326723,485.756579992615
"FDSA",43.4095902803601,130.22877084108,0.992737151788241,726.271338083611
"MeFOSA",798.786999783823,2396.36099935147,0.922310231070732,2445.70128284134
"EtFOSA",1099.93996580298,3299.81989740895,0.881888056745995,8800.14028288272
"6.2.FTCA",82.6150980588108,247.845294176432,0.98641804316633,112.812215356891
"8.2.FTCA",122.868021697782,368.604065093346,0.980552531078725,266.792507672752
"10.2.FTCA",76.6760763242846,230.028228972854,0.996512793426442,165.876637785633
"6.2.UFTCA",106.444965590274,319.334896770822,0.981738118802743,465.908261320625
"8.2.UFTCA",51.1405475708429,153.421642712529,0.996120080575423,518.790388230795
"ADONA",21.732133067222,65.1963992016659,0.999480472242158,416.153838816286
"9Cl.PF3ONS",20.458471102423,61.3754133072689,0.998380500960603,334.118093502868
"11l.PF3OUdS",20.9489085713507,62.8467257140521,0.996470656385212,777.711074036868
"HFPO.DA",304.38583319154,913.157499574619,0.997798659657026,521.56118649706
"6.2.diPAP",10.6661181924181,31.9983545772543,0.979527385270539,1072.40551421589
"8.2.diPAP",35.5959308833092,106.787792649927,0.996174538484371,392.319634734612
"diSAmPAP",568.189233561942,1704.56770068583,0.985411583267749,966.532742568373
"N.EtFBSE",536.691704254033,1610.0751127621,0.983859166913978,1817.13074561024
"MeFOSE",1025.23022058991,3075.69066176973,0.977592026943573,3081.98945803971
"EtFOSE",121.963531267138,365.890593801413,0.898343637211337,481.309506776464
"FOSAA",35.6131301817627,106.839390545288,0.997944661663662,485.87130820731
"MeFOSAA",80.2054106577577,240.616231973273,0.967649584339352,1031.03199630684
"EtFOSAA",131.385968345775,394.157905037325,0.99022776585046,1173.97481716071
"4.2.FTS",34.7285798587831,104.185739576349,0.995932446827873,530.224948622793
"6.2.FTS",23.26653546764,69.7996064029199,0.989487719932006,359.894987327654
"8.2.FTS",35.2941277728491,105.882383318547,0.990906484756956,333.665655131178
"10.2.FTS",36.4857821263952,109.457346379186,0.994986201611979,720.437592967126
"3.3.FTCA",6738.78519515496,20216.3555854649,0.656646214099726,963.90401566277
"5.3.FTCA",200.290946274529,600.872838823587,0.923060347709462,217.298429876176
"7.3.FTCA",322.664004488291,967.992013464873,0.860207404847279,567.54868378835
"PFMPA",43.8856836376994,131.657050913098,0.975941280533795,991.050610670007
"PFEESA",9.1758897319165,27.5276691957495,0.977924831488951,3021.48026651724
"PFMBA",59.2238155807684,177.671446742305,0.998600181559619,140.615939876295
"NFDHA",409.923070614319,1229.76921184296,0.998773080150351,270.805919471947
